Number,Title,Source,URL,Date
40,Kennesaw State student earns national recognition for research,No Source,https://news.kennesaw.edu/stories/2021/ksu-student-earns-national-recognition-for-research.php,"April 26, 2021"
41,Kennesaw State chief diversity officer recognized as one of nation's best,No Source,https://news.kennesaw.edu/stories/2021/chief-diversity-officer-named-top-100.php,"April 26, 2021"
42,Kennesaw State exercise science professor wins mentor award,No Source,https://news.kennesaw.edu/stories/2021/ksu-exercise-science-professor-mentor-award.php,"April 23, 2021"
43,Kennesaw State students find continued success in Coca-Cola Scholarship program ,No Source,https://news.kennesaw.edu/stories/2021/ksu-students-coca-cola-scholars-program.php,"April 23, 2021"
44,Kennesaw State students to showcase research at Symposium of Student Scholars ,No Source,https://news.kennesaw.edu/stories/2021/ksu-symposium-of-student-scholars.php,"April 22, 2021"
45,Kennesaw State's Fall Football Schedule Released,No Source,https://ksuowls.com/news/2021/4/21/football-ksus-fall-conference-schedule-released.aspx,"April 22, 2021"
46,Kennesaw State professor's research promotes digital literacy in English classrooms,No Source,https://news.kennesaw.edu/stories/2021/thought-provoking-podcast-english-education.php,"April 21, 2021"
47,Kennesaw State collects fifth ASUN title,No Source,https://ksuowls.com/news/2021/4/20/womens-golf-owls-fly-away-from-field-collect-fifth-asun-title.aspx,"April 21, 2021"
48,Six hundred hours of labor contributed by Kennesaw State volunteers at Day of Service,No Source,https://news.kennesaw.edu/stories/2021/kennesaw-state-day-of-service-2021.php,"April 19, 2021"
49,Kennesaw State Honors student awarded for scholarship and service,No Source,https://news.kennesaw.edu/stories/2021/kennesaw-state-honors-student-awarded.php,"April 19, 2021"
50,Pamela Whitten to leave Kennesaw State; named President of Indiana University ,No Source,https://news.kennesaw.edu/stories/2021/ksu-president-pamela-whitten-stepping-down.php,"April 16, 2021"
51,"Apple executive, Kennesaw State alum encourages students to aim high",No Source,https://news.kennesaw.edu/stories/2021/ksu-alum-accounting-apple-executive.php,"April 16, 2021"
52,"Kennesaw State Department of Dance's ""run","A)way"" Recognized for Artistic Excellence",https://arts.kennesaw.edu/dance/about/news/posts/run_a_way_wins_laurels.php,"April 14, 2021"
53,Kennesaw State researcher's study of ant brains might lead to understanding changes in human brains ,No Source,https://news.kennesaw.edu/stories/2021/ksu-biology-research-ants-published.php,"April 14, 2021"
54,Written by Whitten | A New Milestone in KSU Engineering,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/a-new-milestone-in-ksu-engineering.php,"April 13, 2021"
55,"Kennesaw State Launches Ph.D. in Interdisciplinary Engineering, Master's in Intelligent Robotic Systems",No Source,https://news.kennesaw.edu/stories/2021/ksu-engineering-doctoral-degree-program.php,"April 13, 2021"
